problem,response,problem_id,originality_rescaled_factor,effectiveness_rescaled_factor,label
help people with speech impairments communicate effectively,A SPECIAL DEVICE CONECTED TO THE BRAIN TO TURN TOUGHTS INTO VERBAL SPEECH SO THE PERSON ONLY NEEDS TO THINK WHAT THEY WANT TO SAY,5,4.4,2.6,
help people with speech impairments communicate effectively,A new vocal box that works with brian waves,5,3.3,2.5,
help people with speech impairments communicate effectively,AI assistant,5,3.1,3.6,
help people with speech impairments communicate effectively,Artificial intellegence,5,2.2,2.6,
help people with speech impairments communicate effectively,Desing a device than can substitute the vocal cords,5,3.4,2.9,
help people with speech impairments communicate effectively,Desing a device with Aithat can help them translate their thoughts into words,5,3.4,3.2,
help people with speech impairments communicate effectively,Develope an AI that can coordinate people impairments to translate them to the accurate thing they want to say.,5,3.8,4.0,
help people with speech impairments communicate effectively,Text to speach applications,5,2.5,3.0,
help people with speech impairments communicate effectively,Text to speech devices based on what is meant to be said or with imput,5,2.8,3.7,
help people with speech impairments communicate effectively,apps with speech excercises,5,2.4,3.0,
help people with speech impairments communicate effectively,board that have images according the matter at question which can help people comunicate,5,2.8,2.9,
help people with speech impairments communicate effectively,communitacion boards,5,2.3,2.9,
help people with speech impairments communicate effectively,develop software that can help replace hard to say worsd with easier synonyms,5,3.3,3.5,
help people with speech impairments communicate effectively,emotion avatars that help people with imparements express themselves better,5,2.9,2.7,
help people with speech impairments communicate effectively,encoutage with gesture,5,2.5,2.6,
help people with speech impairments communicate effectively,give people a type of board that they can use to comunicate that is small enough to travel with,5,2.8,3.2,
help people with speech impairments communicate effectively,mandatory sign lenguage in schools,5,2.6,2.3,
help people with speech impairments communicate effectively,more inclusive enviroments,5,2.6,2.6,
help people with speech impairments communicate effectively,perform surgeries on the people with the proble,5,3.1,2.1,
help people with speech impairments communicate effectively,personalised speech recoginition system,5,2.9,3.5,
help people with speech impairments communicate effectively,reduce back ground voice,5,2.3,2.0,
help people with speech impairments communicate effectively,signlanguage,5,2.1,2.4,
help people with speech impairments communicate effectively,signlanguage like in books on different buttons like in elevators,5,2.3,1.8,
help people with speech impairments communicate effectively,symobolic pics,5,2.1,1.8,
help people with speech impairments communicate effectively,take your time to think what youre about to say,5,2.5,2.7,
help people with speech impairments communicate effectively,text to speech wereable device,5,2.9,3.1,
help people with speech impairments communicate effectively,"use pictures, facial expressions to comunicate",5,2.5,2.5,
help people with speech impairments communicate effectively,using machine learning to predict the speach,5,3.1,3.4,
improve access to clean water in remote areas,Build dam resevours in remote areas,6,2.8,2.9,
improve access to clean water in remote areas,Constrution of reservois,6,2.4,3.2,
improve access to clean water in remote areas,Desalinization plants in affected countries with transport of product to remote areas,6,3.2,3.1,
improve access to clean water in remote areas,Establish water destilation plants,6,2.4,3.2,
improve access to clean water in remote areas,For locations near ocean dessalination systems powred by wind or/and solar,6,2.8,2.6,
improve access to clean water in remote areas,Give access by allowing trasportation from remote areas to clean water areas,6,2.6,3.1,
improve access to clean water in remote areas,Instal bigger water pipe lines to remote areaa,6,2.4,3.4,
improve access to clean water in remote areas,Instal solar water pumpping system,6,2.6,2.8,
improve access to clean water in remote areas,Minimize the use of water based toilets and use dry-toiletts,6,3.0,3.1,
improve access to clean water in remote areas,Rain harversted water,6,2.7,3.2,
improve access to clean water in remote areas,Rise awarness about contaminated water,6,2.8,3.1,
improve access to clean water in remote areas,an elaborated system to provate clean water from de city by aquaducts,6,3.4,3.3,
improve access to clean water in remote areas,awereness of water cleaning,6,2.2,2.9,
improve access to clean water in remote areas,better filteration system to help clean and destroy bacteria,6,2.7,3.2,
improve access to clean water in remote areas,better watter storage,6,2.3,3.1,
improve access to clean water in remote areas,better wter treatment plants,6,2.3,2.3,
improve access to clean water in remote areas,build the necessary infraestructure,6,2.1,2.8,
improve access to clean water in remote areas,change micro system to be more water frendly,6,3.0,2.3,
improve access to clean water in remote areas,device to clean dirty water throught a straw,6,2.3,2.1,
improve access to clean water in remote areas,electrical water purificator,6,2.9,3.4,
improve access to clean water in remote areas,home water treatmet plans,6,2.4,3.1,
improve access to clean water in remote areas,install filteration stations which allow people to withdraw filtered water safetly at particular points,6,3.7,4.3,
improve access to clean water in remote areas,invest in water treament stations,6,2.4,3.4,
improve access to clean water in remote areas,modify desalinization techniques to clean wafwr,6,2.2,3.2,
improve access to clean water in remote areas,obtain water from condesation,6,3.2,2.7,
improve access to clean water in remote areas,provide home water teatments,6,2.6,3.4,
improve access to clean water in remote areas,put filters in pipes which will bw connected to the river to a tank of some form,6,2.6,3.5,
improve access to clean water in remote areas,solar panels to generate ellectricity to run those tanks,6,3.1,2.7,
improve access to clean water in remote areas,solar powered water pumbs,6,3.4,3.2,
improve access to clean water in remote areas,stop dumping waste on strams and dams,6,2.7,2.4,
improve access to clean water in remote areas,sytem of rain catchment.,6,2.9,3.4,
improve access to clean water in remote areas,trated water plant,6,2.9,2.9,
improve access to clean water in remote areas,"water distillation, boil the water and condense the vapour in a seperate chamber",6,3.2,3.4,
improve access to clean water in remote areas,water purifaction tablets,6,2.9,3.2,
improve access to clean water in remote areas,water transportation netorks,6,2.6,3.1,
improve access to clean water in remote areas,wind powered water aquifiers,6,3.3,3.0,
improve the efficiency of public transportation systems,Add more busses to the public transportation so they pass more frecently,7,3.0,3.4,
improve the efficiency of public transportation systems,Aircrafts that are fast and efficeint,7,2.5,1.9,
improve the efficiency of public transportation systems,Autnomous Air Taxis,7,3.8,3.3,
improve the efficiency of public transportation systems,Better oraganization of roads to destination,7,3.1,3.8,
improve the efficiency of public transportation systems,Cars that will emitt less carbon dioxide,7,3.0,2.1,
improve the efficiency of public transportation systems,Delimit use of private transportarion,7,2.8,2.4,
improve the efficiency of public transportation systems,Develop infrastructure in cities to allow for more accessable public transporataion,7,3.1,4.0,
improve the efficiency of public transportation systems,"Develop seperate roadways for buses, ride share cars.",7,3.1,3.2,
improve the efficiency of public transportation systems,Ensure the safety of peassengers by installing camaras,7,2.8,3.0,
improve the efficiency of public transportation systems,Levitating metro using semi conductor,7,3.8,1.9,
improve the efficiency of public transportation systems,Lines only for publis transportation,7,2.4,2.7,
improve the efficiency of public transportation systems,More underground subway tunels,7,3.2,3.8,
improve the efficiency of public transportation systems,Pay system controlled by coverment,7,2.6,1.8,
improve the efficiency of public transportation systems,Set tracks seperate from other transportation,7,2.8,3.7,
improve the efficiency of public transportation systems,better maintenaince and repairs,7,2.9,3.2,
improve the efficiency of public transportation systems,building small airrports,7,3.3,1.7,
improve the efficiency of public transportation systems,bulding side driveways for bikes,7,3.1,3.3,
improve the efficiency of public transportation systems,bulid more railways,7,2.6,4.2,
improve the efficiency of public transportation systems,create more routes of getting to the signle point,7,2.6,2.8,
improve the efficiency of public transportation systems,create vehicles with better composition which can accomodate more people,7,3.0,3.2,
improve the efficiency of public transportation systems,discounts on public trasnportation,7,2.6,3.2,
improve the efficiency of public transportation systems,driven is protected in his seat from the passangers,7,2.1,2.3,
improve the efficiency of public transportation systems,electrical trains and busesc,7,3.0,3.2,
improve the efficiency of public transportation systems,frind the optimum amount of people to travel at any time,7,3.0,3.6,
improve the efficiency of public transportation systems,give maintenance to the sistem on the regular,7,2.6,3.0,
improve the efficiency of public transportation systems,have a maximun number of people get in,7,2.8,3.5,
improve the efficiency of public transportation systems,higher frequecy of services,7,2.3,3.1,
improve the efficiency of public transportation systems,idetify most traveled routes,7,2.9,2.9,
improve the efficiency of public transportation systems,implement the use of fuel efficient vihicles,7,2.7,3.7,
improve the efficiency of public transportation systems,improve accessiblity,7,2.4,3.1,
improve the efficiency of public transportation systems,improvements in the bycicle culture,7,3.0,2.8,
improve the efficiency of public transportation systems,improving shcedules,7,2.6,3.6,
improve the efficiency of public transportation systems,limit the number f vehicles each household can have,7,2.8,2.7,
improve the efficiency of public transportation systems,monitoring of number of passangers,7,3.0,3.5,
improve the efficiency of public transportation systems,more people driving the tranports,7,2.6,2.4,
improve the efficiency of public transportation systems,more trains and not much waitin time in the stations,7,2.6,3.5,
improve the efficiency of public transportation systems,roads that are just for public tranports,7,2.6,2.6,
improve the efficiency of public transportation systems,self drivng vehicles,7,3.0,2.7,
improve the efficiency of public transportation systems,serch for the shortest roote every time,7,2.4,2.8,
improve the efficiency of public transportation systems,stop/vehicle connection to know if someone is ther,7,2.3,2.1,
improve the efficiency of public transportation systems,there could be free wifi provided for passangers,7,2.9,2.8,
improve the efficiency of public transportation systems,traffic flexibilty,7,2.8,2.9,
improve the efficiency of public transportation systems,use magnets on the roads to have cars that dont use gas and limit speed and traffic.,7,3.9,2.3,
improve the efficiency of public transportation systems,using live chedules,7,2.1,2.7,
improve the safety of pedestrian crossings,Bar system to avoid conctact bewteen traffic and people,8,3.2,3.7,
improve the safety of pedestrian crossings,Cats that automatically stop at cross walks,8,2.3,1.6,
improve the safety of pedestrian crossings,Have crossign with wheelchair accesibility and blind people,8,2.7,2.9,
improve the safety of pedestrian crossings,Make sure these zones have a lot of visbility t,8,2.4,2.6,
improve the safety of pedestrian crossings,"More ilumination in the pedestrian cross, so automobiles can see people from distance",8,3.6,3.9,
improve the safety of pedestrian crossings,Over head or underground crossings,8,2.8,3.7,
improve the safety of pedestrian crossings,Physical blocades on crossings that forbid you from etnering it if the light is red for a pedestrian,8,2.6,3.0,
improve the safety of pedestrian crossings,Underground peddestrian streets,8,3.0,3.5,
improve the safety of pedestrian crossings,Where its possible add barrier when pedastrian has green light,8,2.6,3.6,
improve the safety of pedestrian crossings,automated boom-gate to close roads for pedetrians,8,2.7,3.1,
improve the safety of pedestrian crossings,automatic barriers that sincronize with traffic lights.,8,3.7,3.9,
improve the safety of pedestrian crossings,autonomus driving car with safety,8,2.9,2.2,
improve the safety of pedestrian crossings,barriers for pedestriants,8,2.7,3.0,
improve the safety of pedestrian crossings,by night also is needed some lights attached to the ground or luminiscent paint to illuminate the crossings,8,3.4,3.9,
improve the safety of pedestrian crossings,create a sensor that deactivates all cars when red lights - so pedestrains can cross safetely,8,3.9,3.5,
improve the safety of pedestrian crossings,diferents signis where you can corss safety,8,2.4,2.8,
improve the safety of pedestrian crossings,high viiblity,8,2.6,3.8,
improve the safety of pedestrian crossings,incrementing the use of traffice lights,8,2.4,3.0,
improve the safety of pedestrian crossings,inteligent crossings,8,2.3,2.5,
improve the safety of pedestrian crossings,light poole lithning,8,2.3,2.6,
improve the safety of pedestrian crossings,post signs near zebra crossings stating to look left-right-left,8,3.1,3.3,
improve the safety of pedestrian crossings,put speed bumps just before pedestrian corssings so cars have to slow down regardless,8,2.7,3.1,
improve the safety of pedestrian crossings,putting lights on the pedestrianos crossing to be visible to the cars,8,2.5,3.3,
improve the safety of pedestrian crossings,seperate lanes for people with disablities,8,2.7,2.4,
improve the safety of pedestrian crossings,some noise emiting device that em,8,2.2,1.8,
improve the safety of pedestrian crossings,something that phisically stops the cars from moving when their traffic light is not green,8,3.2,3.7,
improve the safety of pedestrian crossings,special pooles to prevent cars drive trhough crossing while red,8,3.2,3.1,
improve the safety of pedestrian crossings,speed infromation for car to determine if they can manage to stop before crossing,8,3.0,3.5,
improve the safety of pedestrian crossings,speeding car detection to infrom pedestrians,8,3.1,2.9,
improve the safety of pedestrian crossings,vigilant drones,8,4.1,2.0,
improve the safety of pedestrian crossings,virbant colour for pedestrians,8,2.4,3.1,
increase the use of renewable energy sources,Build hydrodams,9,2.6,2.4,
increase the use of renewable energy sources,Give incenctives to users to use renewable energy more,9,2.6,3.7,
increase the use of renewable energy sources,Goverment has to comply with renewable energy sources on m,9,2.7,3.1,
increase the use of renewable energy sources,"Implement them from the beggining when possible, like with new houses",9,3.4,3.8,
increase the use of renewable energy sources,Impose less geographic restrictions on companied greating renewable energy until the markey is largr enough to regulate more,9,3.0,4.1,
increase the use of renewable energy sources,Installing solar pannels in schools and universities where it is used a lot,9,3.5,3.9,
increase the use of renewable energy sources,Installing solar pannels on hospitals and government buildings,9,3.0,4.1,
increase the use of renewable energy sources,New construtions methods,9,2.2,2.0,
increase the use of renewable energy sources,Reduce costs to adquire them,9,2.5,2.9,
increase the use of renewable energy sources,Renewable energy inniovation competition,9,3.2,2.7,
increase the use of renewable energy sources,Solar pannels on shades,9,2.8,2.7,
increase the use of renewable energy sources,Teach people about reusable energy sources,9,2.5,3.7,
increase the use of renewable energy sources,Use the Cyclying in the Gym to produce electricity,9,4.3,2.7,
increase the use of renewable energy sources,Wind Turbing Integration,9,2.1,2.8,
increase the use of renewable energy sources,better energy transfering,9,2.3,2.3,
increase the use of renewable energy sources,bio fuels,9,2.2,3.1,
increase the use of renewable energy sources,build more reneable energy centers in the sea,9,2.6,3.0,
increase the use of renewable energy sources,cheap techniques of renawable enrgies,9,2.5,2.4,
increase the use of renewable energy sources,do not make renewable energy sourcesto be overpriced,9,2.5,3.3,
increase the use of renewable energy sources,dont throw away a device thats old,9,2.7,2.7,
increase the use of renewable energy sources,electric cars charging partly via solar pannels on the chargers,9,3.0,3.3,
increase the use of renewable energy sources,eletric cars,9,1.6,2.0,
increase the use of renewable energy sources,facitlitate the access to renewable energy sources like solar panels to the people,9,2.6,3.2,
increase the use of renewable energy sources,fast food franchises having solar pannels on their roofs,9,3.5,3.2,
increase the use of renewable energy sources,find an alternative method that isnt harmful to society,9,2.1,2.9,
increase the use of renewable energy sources,generate electricity form sea water,9,3.1,3.2,
increase the use of renewable energy sources,give the chance to independet enerfy producer to sell their energy excedent to the network if they generate it using renwabel eenry,9,3.3,3.3,
increase the use of renewable energy sources,implementing systems to produce energy from big rivers water movementin cities,9,3.6,3.7,
increase the use of renewable energy sources,invest in fision reasearch,9,3.0,2.7,
increase the use of renewable energy sources,make low costing solar pannels,9,2.5,3.8,
increase the use of renewable energy sources,make reusable energy sources easily attainable for the people,9,2.8,3.6,
increase the use of renewable energy sources,make these resources cheap and accesible by working with universities,9,2.9,3.1,
increase the use of renewable energy sources,more efficient solar pannels,9,2.6,2.5,
increase the use of renewable energy sources,more solar pannels,9,2.2,3.1,
increase the use of renewable energy sources,offer tax incentives for adopting alternative powrt,9,2.3,3.5,
increase the use of renewable energy sources,paddels to step on to make energy,9,3.4,2.5,
increase the use of renewable energy sources,promove the use of solar painels in industries and public buildings to set the exemple,9,2.7,3.5,
increase the use of renewable energy sources,provide rental electric vehicles for personal jse,9,3.1,3.4,
increase the use of renewable energy sources,rain use to make elekctircity,9,2.8,2.6,
increase the use of renewable energy sources,reusage,9,2.0,1.9,
increase the use of renewable energy sources,river momentum enegry,9,3.2,2.8,
increase the use of renewable energy sources,slowly begin the transision of fossil fuel to electrical power in trasportation vehicles,9,2.9,3.4,
increase the use of renewable energy sources,solar pannel,9,2.0,2.2,
increase the use of renewable energy sources,turbines that dont require too much wind and maintance,9,3.2,3.6,
increase the use of renewable energy sources,use wind turbinds more,9,2.3,3.0,
increase the use of renewable energy sources,using the sewage generated by house to generate gas mostly in village houses that have cows and can use cowdung for gober gas,9,4.2,3.2,
reduce air pollution in cities,Ban the use of poly plastics and derivates.,10,3.1,2.8,
reduce air pollution in cities,Build more solar panels on rooves of buildings,10,2.2,2.9,
reduce air pollution in cities,Changing from diesel cars to nitrogene,10,3.3,2.7,
reduce air pollution in cities,Decrese use of cars,10,2.0,1.8,
reduce air pollution in cities,Electrical cars,10,2.2,2.7,
reduce air pollution in cities,Godd public transport infrastructure,10,2.6,3.1,
reduce air pollution in cities,Imposse more taxes to the industrys that use more non renovable fuels.,10,2.6,2.9,
reduce air pollution in cities,Increse use of alternatives transports,10,2.5,3.0,
reduce air pollution in cities,"Limiting the personal possesion of cars, to 1",10,2.9,2.4,
reduce air pollution in cities,Low emmision zones should be important and more of those should be created.,10,2.7,3.5,
reduce air pollution in cities,Plant more native low maintanance trees,10,2.7,2.6,
reduce air pollution in cities,See what factories generate mora pollutio,10,2.4,2.3,
reduce air pollution in cities,Usage of electrical cars,10,2.6,3.4,
reduce air pollution in cities,Walk able cities,10,2.4,2.8,
reduce air pollution in cities,aplly fines for fire,10,3.2,2.6,
reduce air pollution in cities,build ecofriendly homes,10,3.4,3.2,
reduce air pollution in cities,cashback to taxi owners with older vehicl,10,2.7,1.9,
reduce air pollution in cities,educate citizens about polution,10,2.1,3.4,
reduce air pollution in cities,good distribution of trash and gas emisions,10,2.9,2.7,
reduce air pollution in cities,industries should mak esur ethat the gases relesased are safe by converting them prior to release,10,3.4,2.7,
reduce air pollution in cities,make it so that trains are more widly used for transport,10,3.0,3.5,
reduce air pollution in cities,more parks and forest in citys,10,2.3,3.1,
reduce air pollution in cities,more public tansport incentive,10,2.7,3.1,
reduce air pollution in cities,restriction of type of cars alloud in the city,10,3.2,2.8,
reduce air pollution in cities,start to plan where you will transition to electric cars exclusevily,10,3.1,2.9,
reduce air pollution in cities,trap the smoke from chimneas by using electric coils,10,3.5,2.7,
reduce air pollution in cities,trees on side walks,10,2.5,2.9,
reduce air pollution in cities,use bycicles,10,2.3,2.2,
reduce air pollution in cities,use of more pulic transport like trains,10,2.5,2.9,
reduce air pollution in cities,usinn the public transortation,10,2.2,2.3,
reduce the amount of litter in public spaces and promote waste reduction and recycling,Colored trash cans placed in convinient places.,11,2.8,2.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,Create laws that requiere stores to avoid using or selling 1 time use products,11,2.7,2.6,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"Educate children in the school and teach team to inform their parents what they learnt. Also, let them raise awreness when the see those",11,3.2,3.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"Enforce waste recylcing bins everywhere, for glass, paper and plastic.",11,2.6,3.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,Give something to people when they trow waste in bins,11,2.9,2.7,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"Hollow statues (for example, giant fish made from nets or other recicled materials close to the beach) that the general public should fill up with products that can be recycled.",11,4.1,3.7,
reduce the amount of litter in public spaces and promote waste reduction and recycling,Instal recyclying bins in public places,11,2.1,2.9,
reduce the amount of litter in public spaces and promote waste reduction and recycling,More awarness about the polution with litter in public spaces,11,2.1,2.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"Motion sensor trash baskets, that detect item being thrown into them and enforce positive encouragment towards users",11,4.5,3.4,
reduce the amount of litter in public spaces and promote waste reduction and recycling,Puts camras in the place of most dirty spaces and capture the people who throws it. Then publish the picture in the big screen,11,3.0,2.4,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"QR based ""games"" to acccumilate points",11,1.6,2.0,
reduce the amount of litter in public spaces and promote waste reduction and recycling,Tickets/fines to anyone who doesnt put their litter in the right spot,11,2.6,2.9,
reduce the amount of litter in public spaces and promote waste reduction and recycling,approach the issue with enviromentalism in mind,11,2.4,2.7,
reduce the amount of litter in public spaces and promote waste reduction and recycling,auto-cleaning trashcans,11,4.0,2.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,awareness program to educate the comminity,11,2.7,3.5,
reduce the amount of litter in public spaces and promote waste reduction and recycling,awarness of recycling,11,1.6,2.7,
reduce the amount of litter in public spaces and promote waste reduction and recycling,basic reminders frquently,11,1.7,1.9,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"basketball hoop on top of trash can, with a bigger thrash can around that one to catch the litter that misses the hoop",11,3.7,2.7,
reduce the amount of litter in public spaces and promote waste reduction and recycling,bigger fines if a person is caught trowing litter on the floor,11,2.3,3.0,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"bottle refill stations, that stimulate people resusing the same bottle more times",11,3.1,3.2,
reduce the amount of litter in public spaces and promote waste reduction and recycling,build a trashbin that claps everytime you put something in it,11,3.6,2.6,
reduce the amount of litter in public spaces and promote waste reduction and recycling,buildings having in wall trashcans,11,3.2,2.4,
reduce the amount of litter in public spaces and promote waste reduction and recycling,colaborate with local artists to design trash bins unique making them feel like comunity is part of the effort of recycling,11,3.7,3.6,
reduce the amount of litter in public spaces and promote waste reduction and recycling,enviromental education,11,2.6,2.9,
reduce the amount of litter in public spaces and promote waste reduction and recycling,enviromental programs to help people with recycling,11,2.4,3.1,
reduce the amount of litter in public spaces and promote waste reduction and recycling,have firm and strict lawenforcement,11,2.3,2.5,
reduce the amount of litter in public spaces and promote waste reduction and recycling,make the cost of recyclable products more expesinve and the only way of compensating it is by returning the item to its recycling bin,11,3.5,3.5,
reduce the amount of litter in public spaces and promote waste reduction and recycling,massive robotic vaccums,11,3.7,2.4,
reduce the amount of litter in public spaces and promote waste reduction and recycling,more incentives to recyle eg. payment for returning certain items,11,2.9,3.4,
reduce the amount of litter in public spaces and promote waste reduction and recycling,more trashcans,11,2.2,2.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,one thrash bin that detects the thrash thats gets thrwon there and that sends it into a different container for recycling,11,4.0,3.7,
reduce the amount of litter in public spaces and promote waste reduction and recycling,proper implementation of fines and proper monitering,11,2.7,3.1,
reduce the amount of litter in public spaces and promote waste reduction and recycling,public campaing for a public behavior change,11,2.8,3.1,
reduce the amount of litter in public spaces and promote waste reduction and recycling,"put huge bins in front off people, and with vibrant colors",11,2.6,2.6,
reduce the amount of litter in public spaces and promote waste reduction and recycling,reduce ammount of wrappings for products,11,3.1,3.8,
reduce the amount of litter in public spaces and promote waste reduction and recycling,reduce taxes on those who are willing to turn their neightborhood into a recycling center,11,3.7,3.4,
reduce the amount of litter in public spaces and promote waste reduction and recycling,robots that colects trash in public spaces,11,3.8,3.2,
reduce the amount of litter in public spaces and promote waste reduction and recycling,show people the effects of litter on local ecosytems and wildlife,11,2.7,3.2,
reduce the amount of litter in public spaces and promote waste reduction and recycling,the streets should be equiped with airducts that suck rubbish are depposited into some place to be collected,11,3.5,3.3,
reduce the amount of litter in public spaces and promote waste reduction and recycling,tv ads to promote the no littering rulke,11,2.2,2.6,
reduce the amount of litter in public spaces and promote waste reduction and recycling,use a lot of signs to condem littering,11,2.0,2.4,
reduce the amount of single-use plastic packaging used in retail products,Decrese use de packaging,12,2.2,2.6,
reduce the amount of single-use plastic packaging used in retail products,Life expectancy of products manufatcured to be as long as possible and not via capitalism,12,2.8,3.4,
reduce the amount of single-use plastic packaging used in retail products,Machinery allocates each individul purchase with the fair amount of stock in plastic wrapping now to be loose and can't choose get what is given,12,3.8,3.4,
reduce the amount of single-use plastic packaging used in retail products,Make the product secure without wrapping it in plastic (with a cardboard holder or somehting),12,3.1,3.3,
reduce the amount of single-use plastic packaging used in retail products,Promote reuseble plastic packaging,12,2.4,3.7,
reduce the amount of single-use plastic packaging used in retail products,"Remove all plastic in the shop when unpacking stock, then reuse that plastic for storin",12,3.3,3.4,
reduce the amount of single-use plastic packaging used in retail products,Replace single-ise plastics with biodegradable materials,12,2.6,3.5,
reduce the amount of single-use plastic packaging used in retail products,Use recyclable clothe bags,12,2.3,3.0,
reduce the amount of single-use plastic packaging used in retail products,advice costomers to stop buying plastic packaged,12,1.8,3.2,
reduce the amount of single-use plastic packaging used in retail products,aplly fines for excess of plastic,12,2.1,2.6,
reduce the amount of single-use plastic packaging used in retail products,compostible food packaging,12,2.3,3.1,
reduce the amount of single-use plastic packaging used in retail products,create more environmentaly friendly packaging,12,2.5,3.5,
reduce the amount of single-use plastic packaging used in retail products,develop a biodegradable sustitute,12,2.8,3.4,
reduce the amount of single-use plastic packaging used in retail products,"devolop other packages that are more interesting and might make people curious to buy them, like fabric packaging for example",12,3.3,3.8,
reduce the amount of single-use plastic packaging used in retail products,encourage a switch to paper-based or other sustainable materals,12,2.6,2.7,
reduce the amount of single-use plastic packaging used in retail products,fines for using single-use plastic unless neccessary,12,3.2,3.2,
reduce the amount of single-use plastic packaging used in retail products,giving incentives to curb littering of plastic pruduce,12,2.2,2.5,
reduce the amount of single-use plastic packaging used in retail products,in restrants stop giving away utinsils in takeaways,12,2.5,2.2,
reduce the amount of single-use plastic packaging used in retail products,"include advertisements in retail settings for multi-use containers, including warnings about environment imapcts",12,2.6,3.4,
reduce the amount of single-use plastic packaging used in retail products,make recyclable materials cheaer,12,2.7,3.0,
reduce the amount of single-use plastic packaging used in retail products,multi function conteiners,12,3.2,2.9,
reduce the amount of single-use plastic packaging used in retail products,paper conteiners,12,1.9,2.3,
reduce the amount of single-use plastic packaging used in retail products,paper inside shoe boxes or new shirts can be totatlly removed.,12,3.1,2.7,
reduce the amount of single-use plastic packaging used in retail products,produce friendly and easy to carry plastics which are recycleable,12,2.5,3.3,
reduce the amount of single-use plastic packaging used in retail products,provide alternative cheap environemntally friendly option,12,2.4,3.3,
reduce the amount of single-use plastic packaging used in retail products,recicle the usefull parts of plastic,12,2.3,3.0,
reduce the amount of single-use plastic packaging used in retail products,reduce ammount of packaging (toothpaste),12,2.5,2.3,
reduce the amount of single-use plastic packaging used in retail products,stop putting unessary layers of plastic in packages,12,2.6,3.2,
reduce the amount of single-use plastic packaging used in retail products,use less plastic in areas that are not necesary,12,2.6,3.2,
reduce the amount of single-use plastic packaging used in retail products,use more recyclabe packaging,12,2.3,2.9,
reduce the amount of single-use plastic packaging used in retail products,use paperbags,12,1.9,2.5,
reduce the amount of single-use plastic packaging used in retail products,use reciclable materials like paper,12,2.5,3.1,
reduce the amount of single-use plastic packaging used in retail products,use recycable paper bags,12,2.3,3.2,
reduce the amount of single-use plastic packaging used in retail products,using contaner or canisters for refilling,12,2.9,2.9,
reduce the amount of single-use plastic packaging used in retail products,using durable plastic that doesnt easily get torn,12,3.0,3.1,
reduce the carbon footprint of office buildings,A system to measure the air contaminantion,13,3.3,3.7,
reduce the carbon footprint of office buildings,Add vehicules to transporter the people that work there instead of using there own vehicules,13,3.2,3.4,
reduce the carbon footprint of office buildings,Being as minimalistic as posible,13,2.5,2.3,
reduce the carbon footprint of office buildings,Develop a recyling system also embedded on the building so that people can more easily have this behaviour,13,3.6,3.7,
reduce the carbon footprint of office buildings,Have a good air filtration system embedded on these buldings that is mandatory to have from the moment they are ready to accomodate business,13,3.6,4.0,
reduce the carbon footprint of office buildings,Have good insulation for temperture efficiancy,13,3.0,3.3,
reduce the carbon footprint of office buildings,Have sollar panels,13,2.1,3.3,
reduce the carbon footprint of office buildings,Instal sensors that can monitore when to turn on and off ligths automatically,13,3.5,4.2,
reduce the carbon footprint of office buildings,Install solar pannels,13,1.8,3.1,
reduce the carbon footprint of office buildings,Reclycling,13,1.7,2.3,
reduce the carbon footprint of office buildings,Reuse garbage as composte,13,2.7,2.3,
reduce the carbon footprint of office buildings,The use of ecofriendly material's,13,2.7,3.1,
reduce the carbon footprint of office buildings,Use of eco eficient equipment,13,2.3,2.9,
reduce the carbon footprint of office buildings,Use smart appliences,13,2.7,3.0,
reduce the carbon footprint of office buildings,Use water treatmen systems to reutilize the waste water,13,3.3,3.3,
reduce the carbon footprint of office buildings,"Using the better ilumination system you could, to reduce the quanttity of light lamps",13,2.9,3.1,
reduce the carbon footprint of office buildings,anti-carbo foot print designs,13,2.2,2.6,
reduce the carbon footprint of office buildings,change the office lighting to more enviromental friendly light bulbs,13,2.9,3.4,
reduce the carbon footprint of office buildings,during pause use bicycle to use the coffe maker,13,3.1,2.1,
reduce the carbon footprint of office buildings,employee awreness and engagement,13,2.6,2.4,
reduce the carbon footprint of office buildings,implement corrective maintence to old devices to prevent of early disposal of them and give them a second use,13,3.2,3.9,
reduce the carbon footprint of office buildings,install solar pannels,13,2.4,3.2,
reduce the carbon footprint of office buildings,insted of ac cooling use passive systems,13,3.2,3.3,
reduce the carbon footprint of office buildings,invest in rewnewable energy such as solar panels,13,2.3,4.0,
reduce the carbon footprint of office buildings,mantain a constant temperature,13,2.1,2.1,
reduce the carbon footprint of office buildings,minimalistic office space,13,2.4,2.7,
reduce the carbon footprint of office buildings,optimize air conditoning,13,2.6,2.8,
reduce the carbon footprint of office buildings,optimize ligthning in the office building,13,3.1,3.2,
reduce the carbon footprint of office buildings,promote public transort to work,13,2.9,3.4,
