,text,past_future,perceptual_details,causal_analytical,comparative,cleverness
288,"We've already implemented this sort of thing in the past with water wheels, but in modern times I don't think this is a solution that is implemented very often.  I know the technology exists, but it is not being used currently in regular neighborhoods.  So it isn't original since it already exists, but it is original in that it is not being used on a large scale.",1,1,2,2,1
289,"Using recycling bins to reduce litter is extremely commonplace, this makes the idea very unoriginal.",1,1,2,2,1
290,Having more bins in the noticeable places in the community.,2,1,1,1,1
291,The combination of technology use as well as a physical monitoring system makes this a more original response. It adds a social/guilt element that makes this a more viable solution.,2,1,2,2,2
292,Community cleanup events are a strong idea as well to get community engagement.,2,1,1,1,1
293,Community recycling hubs are a relatively innovative approach to encourage recycling in areas where regular recycling programs may not be sufficient or available. It goes beyond simple awareness campaigns and creates a physical infrastructure that can improve waste management.,2,1,2,2,2
294,Its nice and clever and generally helps in sensitizing the public towards environmental conservation,2,1,1,1,2
295,plastics and other non biodegradable materials can take years to decompose causing long term damage to natural habitats.,2,1,2,1,1
296,Hand outs are a common tactic.,2,1,1,1,1
297,This will motivate citizens and is a very unique way of making them follow a patter.,2,1,1,1,1
298,It has some reward and interactivity built in,2,1,1,1,1
299,The idea of reselling glass bottles in an attempt to reduce waste is not anything new. It doesn't push boundaries in recycling.,1,1,2,2,1
300,"It seems like everything has an ""app"" solution these days.  That is why I am neutral on this one.  It isn't something original but is a novel way to try to address the issue.",2,1,1,2,2
301,With the app been designed people can now make recycling of waste materials becomes easy thereby reducing litter and promoting waste recycling,2,1,2,1,1
302,The response is very original because it utilizes new and upcoming technology to try and make a boring concept engaging and exciting to promote the practice of it.,2,1,2,2,2
303,N/A it does not propose a solution,1,1,2,1,1
304,"This would reduce the amount of litter in public spaces, and would be nice because robots don't need to eat or sleep so they could clean non-stop.",2,1,2,2,1
305,"This is a very feasible idea. In as much as it will make it look like we are in a star wars film, it will serve it purpose and as time goes on, people will be used to the robots.
And we all know how robots are very efficient on specific tasks when programmed for it.",2,1,1,2,1
306,It is actually very rare form of solution and I am yet to interact with it as a model,2,1,1,1,1
307,"I selected original because while the idea of solar powered devices isn't new, i have never seen it used in the appliances mentioned and could be interesting",2,2,1,2,2
308,Again already doing this and it doesn't get more people to throw their trash away.,1,1,1,1,1
309,Aren't we already doing that and people still don't throw their waste out reliably.,1,1,1,1,1
310,"I have seen this implemented in some common spaces (i.e. LGA airport has an AI-powered 'scanning' feature that sorts your trash), but even low tech versions of this are seen in many office spaces (i.e. 3 in 1 trash, recycling, compostables. It could be more widespread (i.e. parks typically just have trash).",2,2,2,2,1
311,The idea of providing frequent trash bins is a standard and common approach to managing litter in public spaces. It is not a new or particularly innovative solution.,1,1,2,2,1
312,"Everyone would think of this solution, not unique",2,1,1,2,1
313,Replacing fossil fuels is a stated goal of most organizations that push for renewable energy sources. This solution may have been more original if additional context was provided.,1,1,2,2,1
314,"although grassroot plastics recycling initiatives are common, shredders and melting would give a hands on approach",2,2,1,2,1
315,Encourage smart waste bins with incentives.,2,1,2,1,2
316,"This practice has been going on for a very long time and thus cannot be considered remote, clever or uncommon.",1,1,2,2,2
317,There has always been laws about recycling.  We just need to actually follow the laws and regulations.,1,1,1,1,1
318,"Never heard anything like this it will help with with trash consumption and over trash, trash cans. People could play games and keep themselves interested while recycling. I think this is very unoriginal.",2,2,1,2,1
319,This is present a solution that already exists.,1,1,1,1,1
320,Having more trash cans and recycling bins will offer comprehensive approach to environmental sustainability,2,1,2,1,1
321,"Th idea of having more recycling bins is straightforward and commonly suggested as a solution to promote waste reduction, lacking novelty or creativity.",2,1,2,2,1
322,"Reduce litter in public places, people can engage in games and keep themselves interested by helping the environment. To help overflowing trash cans and help with recycling. In a fun way.",2,1,1,1,1
323,They should be rewarded and it will motivate them to do their work properly,2,1,1,1,1
324,"Encourage reuse of cans, plastics and nylons will help.",2,1,1,1,1
325,Response is unclear.,2,1,1,1,1
326,Airlines and manufacturers can collaborate on research initiatives focus on sustainable technologies.,2,1,2,1,1
327,It helps but is very unoriginal.,1,1,1,2,1
328,This solution is unoriginal because it effectively proposes to just have more of something that already exists.,1,1,2,2,1
329,"It does make sense to solve this with a law, for example, introducing a fine for violators; however, this overall is vague and doesn't address what the law does.",2,1,2,2,1
330,Enforced laws always serve as a deterrent to other potential culprits. An agency can be specified to enforce these laws just as police do with the ticket system.,2,1,2,2,1
331,"Offering rewards for recycling is not a new idea. Many programs and initiatives already provide incentives for recycling. The use of ""coup"" as a reward system could be a twist, but it doesn't significantly deviate from typical recycling reward strategies.",1,1,2,2,1
332,you have better means of getting garbage but you have to encourage the behavior to want to use them,2,1,2,2,1
333,"This seems like it's an extension of the garbage service - many of which do collect recycling from houses as well. It would be nice to have them collect from public places as well, but for the most part this idea is already implemented.",2,1,2,2,1
334,"While promoting education is a sensible and fundamental approach to addressing littering and waste reduction, it lacks novelty. Education campaigns are a commonly proposed and implemented solution in environmental initiatives.",1,1,2,2,1
335,Providing more education is well known.,2,1,1,1,1
337,Now when garbage collectors are been provided people tends to trash their used items in the collectors thereby reducing the rate of litter in public places,2,1,2,1,1
338,"because it combines color psychology, community engagement and strategies from education to promote waste reduction",2,1,2,2,2
339,Most solutions to such problem has always been to reduce the number/amount of trips per year or month.,1,1,2,1,1
340,the response id unique and valuable,2,1,1,1,1
341,This is simple awareness but provides no further motivation or method to reduce litter.,1,1,2,1,1
342,Increase fee for air travel wont help in reducing the effect of air travel to the environment.  proper law should put in place to curb negative effect of air travel,2,1,1,1,1
343,"Basic answer to this problem, not clever, not exciting.",1,1,1,1,1
344,I think that the idea of recycling incentives and games is an interesting idea and is very creative.,2,1,1,1,2
346,Reward system is widely unseen but could be great for consistency.,2,1,2,1,1
347,"Solar panels have been around for several years, and are actively used by both organizations and home owners.",1,1,2,1,1
348,using signs to promote recycling and to reduce litter is an extremely common approach seen very often in public,2,2,2,2,1
349,using signs to promote recycling and to reduce litter is an extremely common approach seen very often in public,2,2,2,2,1
352,"Using signs to reduce littering or promote recycling is a common solution. While it's a simple approach, it's not unique or creative.",2,1,2,2,1
353,"Using signs to reduce littering or promote recycling is a common solution. While it's a simple approach, it's not unique or creative.",2,1,2,2,1
354,"Signs are a very standard and commonly used solution to remind people not to litter or to recycle. This idea is very common, and it doesn’t introduce anything new or inventive to the problem.",1,1,2,2,1
355,"Signs are a very standard and commonly used solution to remind people not to litter or to recycle. This idea is very common, and it doesn’t introduce anything new or inventive to the problem.",1,1,2,2,1
356,Respondent did not offer a solution to the problem.,1,1,2,1,1
357,This is a very original idea.  Most people that i know that do not recycle is because they see the requirements for what can and cannot be recycled confusing.  Having it done for them would make it a lot more efficient and useful.,2,2,1,2,2
358,It is a nice thought but what are the chances of me recovering a valuable object that I dropped by mistake,2,1,1,1,1
359,"This is a well-known, well-treaded solution to this problem.",1,1,1,1,1
360,"The concept of creative suitable for air travel is a known solution to reduce the environmental impact of aviation. While it is practical and feasible, it is not particularly original, as biofuels have been explored in the context of aviation for some time.",1,1,2,2,1
361,"Bringing a more specific response to the table elevates this response to a higher level of originality rather than just offering ""alternative fuel methods."" Trying to add the use of technology by suggesting the creation of a biofuel through some new method of refinery also increases its originality.",2,1,2,2,2
362,"Hydrogen propulsion for air travel is known concept, its application remains innovative due to its unlimited use and technological challenges associated with implementation.",2,1,2,1,2
363,"I think it is an idea that has been brought up before in the past
but deemed unfair constitutionally.",1,1,1,1,1
364,"The idea of using alternatives fuels is somewhat common in discussions about reducing the environmental impact of air travel. While it is relevant, it lacks novelty as it is already widely studied and implemented in dome forms.",1,1,2,2,1
365,"The idea of using alternatives fuels is somewhat common in discussions about reducing the environmental impact of air travel. While it is relevant, it lacks novelty as it is already widely studied and implemented in dome forms.",1,1,2,2,1
366,"I rated an original as I’ve never heard an aircraft, using magnetic power to lift itself in the air and make it lighter. I thought this was very clever and unoriginal.",1,2,1,2,2
367,"I rated an original as I’ve never heard an aircraft, using magnetic power to lift itself in the air and make it lighter. I thought this was very clever and unoriginal.",1,2,1,2,2
368,The use of alternative fuels is well known.,1,1,1,1,1
369,The use of alternative fuels is well known.,1,1,1,1,1
370,Increasing the fees for air travel is not a solution to the problem being presented.  People who can not afford air travel already do not travel by air.  I won't go into the carbon emission debate that it's the rich not the poor that are to be blamed for environmental issues.  More expensive plane tickets do not stop private air crafts from taking frivolous trips.,2,1,2,2,1
371,"long-range electric train powered by green energy/nuclear would be an innovative  use of existing technologies. although high speed rail exists, focus on green energy/nuclear gives a creative twist",2,1,2,2,2
372,It's been thought of before.,1,1,1,1,1
373,I selected one because this solution seems very basic.  It would seem that reducing noise would be near the top of the list of easiest ways reduce environmental impact of planes,2,1,1,2,1
374,It's not original. People have thought of it.,1,1,1,2,1
376,"I'm making the assumption that ""more education"" means ""more education about why recycling is important"". Recycling education is a common practice amongst green organizations.",2,1,2,2,1
377,This is super common and already a wide industry.,1,1,1,1,1
378,It's been thought of many times before.,1,1,1,1,1
379,This is basic and obvious answer.,1,1,1,1,1
380,This idea is sort of simple in it solves a problem in an obvious way.,1,1,1,2,1
381,Build more efficient plane will improve air travel.,2,1,1,1,1
382,"The solution offered provided a reasonable and regulatory way air travel, and thus environmental impact, could be reduced. Limiting air travel itself is often less thought off than alternative fuel sources as solutions.",1,1,2,2,1
383,This response touched on something new and was obvious that thought was put into finding a new solution to a problem.  I would like to hear the smart bin idea expanded on and how it would alert sanitation to empty it.  I would have preferred an explanation as to why the respondent believed the smart bin would help.,2,2,2,2,2
384,This idea is creative and niche. Utilizes art and functional.,2,1,1,2,1
385,Hydrogen is more fuel efficient but very dangerous to use in air travel.,2,1,2,2,1
386,This is very original and  necessary,2,1,1,1,2
387,"While not a completely original idea, the notion of raising prices in general for a commodity is generally viewed negatively, so offering a solution that suggests a price increase for the better of something is, indeed, somewhat original.",1,1,2,2,2
388,"The response was just listed as ""Hybrid planes?"" It doesn't seem like much thought was given into the answer nor was it fleshed.",1,1,1,1,1
389,for the longest time ever laws governing the protection and conservation of the environment with regards to vehicular pollution have been there and are still as effective,1,1,2,1,1
390,i don't see this to be feasible enough as the material of construction comes to play. Can the materials of the solar panels handle the high pressures in the skies?,2,2,2,2,1
391,Making more searching by aerospace engineers to build more efficient air plane,2,1,1,1,1
392,"Using durable light weight material to make planes has been a goal
of airplane industry since the first airplane went into the sky.",1,1,2,1,1
393,I have never heard anything like this in my life. I’ve never heard anything about air Aircraft and magnetic powers? To me this is something very new.,1,2,1,2,1
394,This is already being done by many airlines.,1,1,1,1,1
395,The discussion of fuel efficiency is the most basic argument at the heart of reducing the environmental impact of air travel. The solution is bland and generic with no substance.,2,1,2,2,1
396,Another outside the box idea to think differently on solving a problem.  I like it alot.,2,1,1,1,2
397,Improving efficient of other means of transportation.,2,1,1,1,1
398,More people means more weight meaning that the plane is emitting even more carbon to transport more people and things safely; this does not fully address the problem.,2,1,2,2,1
399,Encourage the train or electric buses transportations can help.,2,1,1,1,1
400,"Too vague of a responses, of course new technologies will reduce the impact of air travel. Need more information about what technologies exactly.",2,1,2,2,1
401,"I selected neutral because the concept of using rewards systems to incentivize people is not new, however i have not seen it done first hand with recycling as the goal so i think its an interesting idea.",2,2,1,2,1
402,This is a pre-existing method for reducing environmental impacts of air travel. There's very little that could be additionally optimized in terms of routes.,1,1,2,2,1
403,"yes it is original as it conveys a clear idea, which is optimizing flight routes to reduce environmental impact on air travel",2,1,2,1,2
404,Optimizing travel routes should be done already so this is not a new idea nor original.,1,1,2,2,1
405,Being able to repair things or having them made with better quality would cut down on consumption and waste.,2,1,2,2,1
406,"I do agree with this as transportation like carpooling or trains are more environmentally friendly, and more use of things like this, especially for shorter trips would reduce the amount of flights needed; however, this doesn't fully address how planes themselves can reduce environmental impact as-is.",2,1,2,2,1
407,"The idea of improving other forms of transportation to make them fast and affordable is a common solution to reduce the environmental impact of air travel. It has been discussed in various contexts like promoting trains or electric vehicles, but it's not and innovative or particularly original suggestion.",1,1,2,2,1
408,Discussing other means of travel does not actually answer how to reduce the environmental impact of air travel itself and does not offer solutions to how to make alternatives more affordable.,2,1,2,2,1
409,These types of technologies have been tried in the past and scrapped.,1,1,2,2,1
410,Having more direct flight plans will make great improvement to air travel.,2,1,2,1,1
411,"I'm neutral on it because, people are of the liberty to buy what they want. If there are better measures, they will subdue to it an utilize them. It's all about controlling and improving the technologies, not banning or reducing the amount of equipment in the system.",2,1,1,2,1
412,"The idea or optimizing route planning to reduce environmental impact is moderately novel, as it incorporate efficiency improvements that could lead to reduced emissions, but software solutions for route optimizing are already known in the travel and logistics industries.",2,1,2,2,1
413,People have always used other types of travel depending upon where they are going and from where they start.  The issue is mostly amount of time needed for another form of travel for it to be reasonable and the costs associated.,1,1,2,2,1
414,"Encourage alternatives to flying, such as train travel for short distance.",2,1,2,1,1
415,I selected 2 because increasing direct flights seems like a very uninspired solution to the problem.,1,1,1,2,1
416,This is a basic solve and almost unreasonable for normal people.,2,1,1,2,1
417,Encourage other means of transportations can help.,2,1,1,1,1
418,"Nothing specific was said about the technology. So not very original, since how the technology works wasn't mentioned.",1,1,2,2,1
419,"Doesn't offer a solution, too general.",2,1,2,1,1
420,its somewhat unoriginal since that's what has been used for the longest time when it comes to mitigating the effects and impact of air travel on the environment,1,1,2,2,1
421,"Again a good idea, but one that I have specifically seen at local zoos and other like minded organizations.  The only originality to this idea would be if they included how they were going to do this one a large scale.",1,2,1,2,2
